input,output
"input: It got dark outside.
(1)Snowflakes began to fall from the sky.(2)The moon became visible in the sky.
output: ",2
"input: I hung up the phone.
(1)The caller said goodbye to me.(2)The caller identified himself to me.
output: ",1
"input: The woman's ring slipped off in the shower.
(1)The woman polished the ring.(2)The ring went down the drain.
output: ",2
"input: The girl received a trophy.
(1)She won a spelling bee.(2)She made a new friend.
output: ",1
"input: The woman's date wanted to look like a gentleman.
(1)He opened the door for her.(2)He asked her if she liked sushi.
output: ",1
"input: The farmland needed irrigation.
(1)A canal was constructed.(2)A flood occurred.
output: ",1
"input: The host cancelled the party.
(1)She was certain she had the flu.(2)She worried she would catch the flu.
output: ",1
"input: The woman gave the man her phone number.
(1)She was attracted to him.(2)She was repulsed by him.
output: ",1
"input: The skydiver glided safely to the ground.
(1)She opened her parachute.(2)She jumped out of the plane.
output: ",1
"input: The toddler became cranky.
(1)Her mother put her down for a nap.(2)Her mother fixed her hair into pigtails.
output: ",1
